name,description,color_id
Procrastination,Thoughts related to delaying tasks and time management struggles,1
Self-worth,"Reflections on personal value, confidence, and self-esteem",2
Relationships,"Thoughts about connections with others, family, friends, and romantic partners",3
Motivation,"Entries about drive, inspiration, goals, and aspirations",4
Anxiety,"Concerns, worries, fears, and stress-related thoughts",5
Growth,"Personal development, learning experiences, and self-improvement",6
Work,"Professional life, career thoughts, and workplace experiences",7
Creativity,"Creative thoughts, artistic expression, and imaginative ideas",8
Emotions,"Strong feelings, emotional experiences, and affective states",9
Balance,"Life balance, harmony, and equilibrium in daily life",10
